raceId,driverRef,driver_overall_avg,driver_track_avg,driver_street_avg,driver_high_deg_avg
143,fisichella,11.473684210526315,2.0,11.294117647058824,12.615384615384615
143,villeneuve,10.368421052631579,17.0,11.117647058823529,11.384615384615385
143,alesi,15.368421052631579,18.0,15.588235294117647,15.307692307692308
143,marques,17.0,17.0,17.0,17.0
143,button,11.368421052631579,6.0,11.0,9.23076923076923
143,frentzen,12.368421052631579,3.0,13.235294117647058,11.692307692307692
143,raikkonen,14.0,14.0,14.0,14.0
143,ralf_schumacher,9.842105263157896,5.0,9.823529411764707,9.153846153846153
143,mazzacane,14.0,10.0,13.705882352941176,13.846153846153847
143,irvine,12.0,16.0,12.25,12.5
143,montoya,17.0,17.0,17.0,17.0
143,verstappen,13.842105263157896,7.0,13.235294117647058,14.692307692307692
143,burti,9.666666666666666,9.666666666666666,9.666666666666666,9.666666666666666
143,alonso,12.5,12.5,12.5,12.5
143,bernoldi,19.5,19.5,19.5,19.5
143,barrichello,5.894736842105263,15.0,6.294117647058823,6.3076923076923075
143,hakkinen,5.526315789473684,14.0,4.9411764705882355,5.384615384615385
144,ralf_schumacher,10.0,17.0,10.0,11.333333333333334
144,coulthard,4.7,3.0,4.888888888888889,5.833333333333333
144,barrichello,6.65,4.0,7.111111111111111,5.0
144,hakkinen,6.35,2.0,5.888888888888889,5.833333333333333
144,trulli,12.7,15.0,12.555555555555555,13.833333333333334
144,frentzen,12.3,22.0,13.11111111111111,13.833333333333334
144,heidfeld,14.421052631578947,19.0,14.882352941176471,13.5
144,panis,10.666666666666666,10.666666666666666,10.666666666666666,10.5
144,alesi,15.0,18.0,15.166666666666666,15.5
144,bernoldi,19.666666666666668,19.666666666666668,19.666666666666668,10.5
144,burti,11.75,11.75,11.75,10.5
144,button,11.3,20.0,10.944444444444445,16.0
144,marques,14.333333333333334,14.333333333333334,14.333333333333334,10.5
144,montoya,16.666666666666668,16.666666666666668,16.666666666666668,10.5
144,irvine,12.157894736842104,7.0,12.411764705882353,11.0
144,fisichella,11.2,11.0,11.0,9.0
144,villeneuve,10.2,5.0,10.88888888888889,8.166666666666666
144,mazzacane,14.0,13.0,13.722222222222221,14.333333333333334
144,michael_schumacher,4.7,1.0,4.277777777777778,5.333333333333333
144,raikkonen,13.333333333333334,13.333333333333334,13.333333333333334,10.5
144,verstappen,14.0,14.0,13.444444444444445,12.0
144,alonso,14.666666666666666,14.666666666666666,14.666666666666666,10.5
145,michael_schumacher,5.380952380952381,5.0,5.052631578947368,4.428571428571429
145,montoya,16.0,16.0,16.0,16.666666666666668
145,villeneuve,10.523809523809524,19.0,11.210526315789474,11.071428571428571
145,trulli,12.333333333333334,12.0,12.157894736842104,12.214285714285714
